"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",120.99116,13.51857,NA,"Paracanthurus hepatus"
"gbif",118.630011,4.116129,NA,"Paracanthurus hepatus"
"gbif",153.629233,-28.611023,NA,"Paracanthurus hepatus"
"gbif",-176.461758,0.18688,20.7,"Paracanthurus hepatus"
"gbif",-176.620026,0.798243,5.45,"Paracanthurus hepatus"
"gbif",-162.464716,6.384268,10.6,"Paracanthurus hepatus"
"gbif",145.996625,-16.428461,NA,"Paracanthurus hepatus"
"gbif",128.557778,27.328333,20,"Paracanthurus hepatus"
"gbif",39.379703,-4.714799,NA,"Paracanthurus hepatus"
"gbif",179.940548,-16.767523,NA,"Paracanthurus hepatus"
"gbif",35.08851,-21.15137,NA,"Paracanthurus hepatus"
"gbif",35.40329,-23.8176,NA,"Paracanthurus hepatus"
"gbif",153.391466,-29.929429,NA,"Paracanthurus hepatus"
"gbif",55.727806,-4.279653,NA,"Paracanthurus hepatus"
"gbif",55.865309,-4.288243,NA,"Paracanthurus hepatus"
"gbif",55.674129,-4.258536,NA,"Paracanthurus hepatus"
"gbif",152.710228,-24.110377,NA,"Paracanthurus hepatus"
"gbif",130.632815,-0.584608,NA,"Paracanthurus hepatus"
"gbif",178.985925,-17.575953,NA,"Paracanthurus hepatus"
"gbif",145.568113,14.865178,13.5,"Paracanthurus hepatus"
"gbif",145.530071,14.838945,15.4,"Paracanthurus hepatus"
"gbif",145.530071,14.838945,16.5,"Paracanthurus hepatus"
"gbif",144.763832,13.282353,11.4,"Paracanthurus hepatus"
"gbif",145.761289,18.090721,20.6,"Paracanthurus hepatus"
"gbif",145.791789,18.169705,24.4,"Paracanthurus hepatus"
"gbif",145.791789,18.169705,23.7,"Paracanthurus hepatus"
"gbif",145.753687,18.144987,14.2,"Paracanthurus hepatus"
"gbif",145.168395,14.108882,24.85,"Paracanthurus hepatus"
"gbif",145.285454,14.169204,9.3,"Paracanthurus hepatus"
"gbif",145.285454,14.169204,9.7,"Paracanthurus hepatus"
"gbif",145.703956,15.192456,4.8,"Paracanthurus hepatus"
"gbif",145.792591,15.274841,9.2,"Paracanthurus hepatus"
"gbif",145.792591,15.274841,8.65,"Paracanthurus hepatus"
"gbif",145.645735,14.924998,20.15,"Paracanthurus hepatus"
"gbif",145.656083,15.052066,12.8,"Paracanthurus hepatus"
"gbif",145.630367,14.927633,13.5,"Paracanthurus hepatus"
"gbif",145.630367,14.927633,12.7,"Paracanthurus hepatus"
"gbif",145.585532,15.010917,14.65,"Paracanthurus hepatus"
"gbif",145.585532,15.010917,14.55,"Paracanthurus hepatus"
"gbif",141.474,25.752,NA,"Paracanthurus hepatus"
"gbif",-174.18171,-18.15824,6,"Paracanthurus hepatus"
"gbif",32.679877,-27.535837,NA,"Paracanthurus hepatus"
"gbif",-174.2058,-18.17188,6,"Paracanthurus hepatus"
"gbif",-174.18214,-18.16779,11.3,"Paracanthurus hepatus"
"gbif",-174.18214,-18.16779,5,"Paracanthurus hepatus"
"gbif",145.744785,18.093946,23.4,"Paracanthurus hepatus"
"gbif",145.705884,18.050178,21.3,"Paracanthurus hepatus"
"gbif",145.705884,18.050178,21.35,"Paracanthurus hepatus"
"gbif",145.726526,18.085108,12.25,"Paracanthurus hepatus"
"gbif",145.678863,15.13421,21,"Paracanthurus hepatus"
"gbif",145.70275,15.111052,16.2,"Paracanthurus hepatus"
"gbif",145.70275,15.111052,15.6,"Paracanthurus hepatus"
"gbif",145.698973,15.113834,21.9,"Paracanthurus hepatus"
"gbif",145.776382,16.7184,22.65,"Paracanthurus hepatus"
"gbif",150.718904,-2.75749,NA,"Paracanthurus hepatus"
"gbif",120.913632,13.686601,NA,"Paracanthurus hepatus"
"gbif",39.381621,-5.820478,NA,"Paracanthurus hepatus"
"gbif",-174.07435,-18.671667,7,"Paracanthurus hepatus"
"gbif",55.30145,-21.23971,NA,"Paracanthurus hepatus"
"gbif",55.27931,-21.17037,NA,"Paracanthurus hepatus"
"gbif",55.27962,-21.20596,NA,"Paracanthurus hepatus"
"gbif",55.27898,-21.20515,NA,"Paracanthurus hepatus"
"gbif",55.21433,-21.03507,NA,"Paracanthurus hepatus"
"gbif",55.29266,-21.2331,NA,"Paracanthurus hepatus"
"gbif",55.22368,-21.07384,NA,"Paracanthurus hepatus"
"gbif",130.64465,-2.26025,NA,"Paracanthurus hepatus"
"gbif",130.623751,-2.249608,NA,"Paracanthurus hepatus"
"gbif",123.893583,-5.775622,NA,"Paracanthurus hepatus"
"gbif",-169.49334,-14.273857,9.1,"Paracanthurus hepatus"
"gbif",179.110488,-17.07647,NA,"Paracanthurus hepatus"
"gbif",179.923538,-16.783458,NA,"Paracanthurus hepatus"
"gbif",55.4686,-21.3495,NA,"Paracanthurus hepatus"
"gbif",35.45493,-21.48439,NA,"Paracanthurus hepatus"
"gbif",146.028845,-16.657679,NA,"Paracanthurus hepatus"
"gbif",130.1525,30.487778,NA,"Paracanthurus hepatus"
"gbif",39.383997,-5.801525,NA,"Paracanthurus hepatus"
"gbif",152.908466,-25.288066,NA,"Paracanthurus hepatus"
"gbif",35.50786,-21.31902,NA,"Paracanthurus hepatus"
"gbif",55.865689,-4.321165,NA,"Paracanthurus hepatus"
"gbif",124.090481,24.306446,NA,"Paracanthurus hepatus"
"gbif",179.10468,-17.06842,NA,"Paracanthurus hepatus"
"gbif",119.572515,-8.689442,NA,"Paracanthurus hepatus"
"gbif",-178.174,-14.2359,1.25,"Paracanthurus hepatus"
"gbif",-178.174,-14.2359,8.75,"Paracanthurus hepatus"
"gbif",55.73661,-21.37035,NA,"Paracanthurus hepatus"
"gbif",55.65609,-21.36669,NA,"Paracanthurus hepatus"
"gbif",55.68264,-21.37132,NA,"Paracanthurus hepatus"
"gbif",126.788447,26.29118,NA,"Paracanthurus hepatus"
"gbif",-157.427812,1.872135,NA,"Paracanthurus hepatus"
"gbif",179.108129,-17.116486,NA,"Paracanthurus hepatus"
"gbif",-176.457306,0.19031,18.95,"Paracanthurus hepatus"
"gbif",-176.457306,0.19031,19.2,"Paracanthurus hepatus"
"gbif",-176.46102,0.187242,23,"Paracanthurus hepatus"
"gbif",-176.46102,0.187242,21,"Paracanthurus hepatus"
"gbif",-176.488864,0.191557,6.35,"Paracanthurus hepatus"
"gbif",-176.488864,0.191557,6.85,"Paracanthurus hepatus"
"gbif",-176.626714,0.820899,13.5,"Paracanthurus hepatus"
"gbif",-176.626782,0.822466,15.95,"Paracanthurus hepatus"
"gbif",179.105897,-17.070283,NA,"Paracanthurus hepatus"
"gbif",179.098605,-17.062497,NA,"Paracanthurus hepatus"
"gbif",-169.610598,-14.151863,17.8,"Paracanthurus hepatus"
"gbif",-169.610598,-14.151863,18,"Paracanthurus hepatus"
"gbif",-169.519542,-14.224068,9,"Paracanthurus hepatus"
"gbif",-170.548823,-14.278573,9.7,"Paracanthurus hepatus"
"gbif",-170.548823,-14.278573,8.5,"Paracanthurus hepatus"
"gbif",-170.547391,-14.27903,13,"Paracanthurus hepatus"
"gbif",-170.67885,-14.241373,9.3,"Paracanthurus hepatus"
"gbif",-170.67885,-14.241373,9.4,"Paracanthurus hepatus"
